symbol,date,price
Bicyclist,0,32
Bicyclist,1,51
Bicyclist,2,29
Bicyclist,3,21
Bicyclist,4,28
Bicyclist,5,28
Bicyclist,6,38
Bicyclist,7,35
Bicyclist,8,41
Bicyclist,9,28
Bicyclist,10,31
Bicyclist,11,27
Bicyclist,12,38
Bicyclist,13,41
Bicyclist,14,39
Bicyclist,15,56
Bicyclist,16,55
Bicyclist,17,87
Bicyclist,18,76
Bicyclist,19,92
Bicyclist,20,81
Bicyclist,21,81
Bicyclist,22,61
Bicyclist,23,49
Driver,0,863
Driver,1,848
Driver,2,854
Driver,3,680
Driver,4,532
Driver,5,689
Driver,6,860
Driver,7,899
Driver,8,702
Driver,9,741
Driver,10,795
Driver,11,880
Driver,12,953
Driver,13,1058
Driver,14,1155
Driver,15,1257
Driver,16,1261
Driver,17,1270
Driver,18,1229
Driver,19,1117
Driver,20,1072
Driver,21,1072
Driver,22,956
Driver,23,912
Passenger,0,801
Passenger,1,694
Passenger,2,673
Passenger,3,540
Passenger,4,412
Passenger,5,362
Passenger,6,470
Passenger,7,545
Passenger,8,401
Passenger,9,1738
Passenger,10,532
Passenger,11,624
Passenger,12,712
Passenger,13,868
Passenger,14,858
Passenger,15,999
Passenger,16,934
Passenger,17,1124
Passenger,18,860
Passenger,19,808
Passenger,20,794
Passenger,21,915
Passenger,22,788
Passenger,23,655
Pedestrian,0,256
Pedestrian,1,229
Pedestrian,2,224
Pedestrian,3,158
Pedestrian,4,125
Pedestrian,5,229
Pedestrian,6,238
Pedestrian,7,129
Pedestrian,8,87
Pedestrian,9,86
Pedestrian,10,91
Pedestrian,11,91
Pedestrian,12,80
Pedestrian,13,115
Pedestrian,14,125
Pedestrian,15,140
Pedestrian,16,149
Pedestrian,17,286
Pedestrian,18,422
Pedestrian,19,432
Pedestrian,20,589
Pedestrian,21,534
Pedestrian,22,443
Pedestrian,23,283
Total,0,1952
Total,1,1822
Total,2,1780
Total,3,1399
Total,4,1097
Total,5,1308
Total,6,1606
Total,7,1608
Total,8,1231
Total,9,2593
Total,10,1449
Total,11,1622
Total,12,1783
Total,13,2082
Total,14,2177
Total,15,2452
Total,16,2399
Total,17,2767
Total,18,2587
Total,19,2449
Total,20,2536
Total,21,2602
Total,22,2248
Total,23,1899
